class,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
1,no checking account,36,existing credits paid back duly till now,car (new),3079,A65,1  <= ... < 4 years,4,male   : single,none,4,real estate,36,none,own,1,skilled employee / official,1,none,yes
1,no checking account,18,critical account/  other credits existing (not at this bank),radio/television,6070,A61,.. >= 7 years,3,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",33,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,10,critical account/  other credits existing (not at this bank),furniture/equipment,2146,A61,... < 1 year,1,female : divorced/separated/married,none,3,real estate,23,none,rent,2,skilled employee / official,1,none,yes
1,no checking account,60,critical account/  other credits existing (not at this bank),car (new),13756,A65,.. >= 7 years,2,male   : single,none,4,unknown / no property,63,bank,for free,1,management/ self-employed/,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,60,all credits at this bank paid back duly,others,14782,A62,.. >= 7 years,3,female : divorced/separated/married,none,4,unknown / no property,60,bank,for free,2,management/ self-employed/,1,"yes, registered under the customers name",yes
2,... <    0 DM,48,all credits at this bank paid back duly,business,7685,A61,4  <= ... < 7 years,2,female : divorced/separated/married,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",37,none,rent,1,skilled employee / official,1,none,yes
1,no checking account,18,delay in paying off in the past,radio/television,2320,A61,unemployed,2,male   : married/widowed,none,3,real estate,34,none,own,2,skilled employee / official,1,none,yes
1,no checking account,7,delay in paying off in the past,radio/television,846,A65,.. >= 7 years,3,male   : single,none,4,unknown / no property,36,none,for free,1,skilled employee / official,1,none,yes
2,0 <= ... <  200 DM,36,existing credits paid back duly till now,car (new),14318,A61,.. >= 7 years,4,male   : single,none,2,unknown / no property,57,none,for free,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,no checking account,6,critical account/  other credits existing (not at this bank),car (new),362,A62,1  <= ... < 4 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",52,none,own,2,unskilled - resident,1,none,yes
1,... <    0 DM,20,existing credits paid back duly till now,furniture/equipment,2212,A65,4  <= ... < 7 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",39,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,18,existing credits paid back duly till now,car (used),12976,A61,unemployed,3,female : divorced/separated/married,none,4,unknown / no property,38,none,for free,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,no checking account,22,existing credits paid back duly till now,car (new),1283,A65,4  <= ... < 7 years,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,25,none,rent,1,skilled employee / official,1,none,yes
1,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,car (new),1330,A61,... < 1 year,4,male   : single,none,1,real estate,26,none,own,1,skilled employee / official,1,none,yes
1,no checking account,30,delay in paying off in the past,business,4272,A62,1  <= ... < 4 years,2,male   : single,none,2,if not A121 : building society savings agreement/ life insurance,26,none,own,2,unskilled - resident,1,none,yes
1,no checking account,18,critical account/  other credits existing (not at this bank),radio/television,2238,A61,1  <= ... < 4 years,2,female : divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,none,yes
1,no checking account,18,existing credits paid back duly till now,radio/television,1126,A65,... < 1 year,4,female : divorced/separated/married,none,2,real estate,21,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,18,critical account/  other credits existing (not at this bank),furniture/equipment,7374,A61,unemployed,4,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,40,stores,own,2,management/ self-employed/,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,15,critical account/  other credits existing (not at this bank),business,2326,A63,1  <= ... < 4 years,2,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",27,bank,own,1,skilled employee / official,1,none,yes
1,no checking account,9,existing credits paid back duly till now,business,1449,A61,4  <= ... < 7 years,3,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes
1,no checking account,18,existing credits paid back duly till now,car (new),1820,A61,1  <= ... < 4 years,2,male   : married/widowed,none,2,if not A121 : building society savings agreement/ life insurance,30,none,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,12,existing credits paid back duly till now,furniture/equipment,983,A64,... < 1 year,1,female : divorced/separated/married,none,4,real estate,19,none,rent,1,unskilled - resident,1,none,yes
1,... <    0 DM,36,existing credits paid back duly till now,car (new),3249,A61,4  <= ... < 7 years,2,male   : single,none,4,unknown / no property,39,bank,for free,1,management/ self-employed/,2,"yes, registered under the customers name",yes
1,... <    0 DM,6,critical account/  other credits existing (not at this bank),radio/television,1957,A61,4  <= ... < 7 years,1,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,none,yes
1,no checking account,9,critical account/  other credits existing (not at this bank),furniture/equipment,2406,A61,unemployed,2,male   : single,none,3,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,management/ self-employed/,1,none,yes
1,0 <= ... <  200 DM,39,delay in paying off in the past,education,11760,A62,4  <= ... < 7 years,2,male   : single,none,3,unknown / no property,32,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,... <    0 DM,12,existing credits paid back duly till now,furniture/equipment,2578,A61,unemployed,3,female : divorced/separated/married,none,4,unknown / no property,55,none,for free,1,management/ self-employed/,1,none,yes
1,... <    0 DM,36,critical account/  other credits existing (not at this bank),furniture/equipment,2348,A61,1  <= ... < 4 years,3,male   : married/widowed,none,2,if not A121 : building society savings agreement/ life insurance,46,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,12,existing credits paid back duly till now,car (new),1223,A61,.. >= 7 years,1,male   : divorced/separated,none,1,real estate,46,none,rent,2,skilled employee / official,1,none,yes
1,no checking account,24,critical account/  other credits existing (not at this bank),radio/television,1516,A64,1  <= ... < 4 years,4,female : divorced/separated/married,none,1,real estate,43,none,own,2,unskilled - resident,1,none,yes
1,no checking account,18,existing credits paid back duly till now,radio/television,1473,A61,... < 1 year,3,male   : married/widowed,none,4,real estate,39,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,18,critical account/  other credits existing (not at this bank),business,1887,A65,1  <= ... < 4 years,4,male   : married/widowed,none,4,real estate,28,bank,own,2,skilled employee / official,1,none,yes
2,no checking account,24,delay in paying off in the past,business,8648,A61,... < 1 year,2,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",27,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,14,delay in paying off in the past,car (new),802,A61,1  <= ... < 4 years,4,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,unskilled - resident,1,none,yes
1,0 <= ... <  200 DM,18,delay in paying off in the past,car (new),2899,A65,.. >= 7 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",43,none,own,1,skilled employee / official,2,none,yes
2,0 <= ... <  200 DM,24,existing credits paid back duly till now,radio/television,2039,A61,... < 1 year,1,male   : married/widowed,none,1,if not A121 : building society savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,24,critical account/  other credits existing (not at this bank),car (used),2197,A65,4  <= ... < 7 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",43,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes
1,... <    0 DM,15,existing credits paid back duly till now,radio/television,1053,A61,... < 1 year,4,male   : married/widowed,none,2,real estate,27,none,own,1,skilled employee / official,1,none,no
1,no checking account,24,existing credits paid back duly till now,radio/television,3235,A63,.. >= 7 years,3,male   : divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
2,... >= 200 DM / salary assignments for at least 1 year,12,critical account/  other credits existing (not at this bank),car (new),939,A63,4  <= ... < 7 years,4,male   : married/widowed,none,2,real estate,28,none,own,3,skilled employee / official,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,24,existing credits paid back duly till now,radio/television,1967,A61,.. >= 7 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",20,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,33,critical account/  other credits existing (not at this bank),car (used),7253,A61,4  <= ... < 7 years,3,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",35,none,own,2,management/ self-employed/,1,"yes, registered under the customers name",yes
2,no checking account,12,critical account/  other credits existing (not at this bank),business,2292,A61,unemployed,4,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",42,stores,own,2,management/ self-employed/,1,"yes, registered under the customers name",yes
1,no checking account,10,existing credits paid back duly till now,car (new),1597,A63,1  <= ... < 4 years,3,male   : single,none,2,unknown / no property,40,none,rent,1,unskilled - resident,2,none,no
2,... <    0 DM,24,existing credits paid back duly till now,car (new),1381,A65,1  <= ... < 4 years,4,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,35,none,own,1,skilled employee / official,1,none,yes
